salinity_surface_psu,temperature_surface_°c,mean_wind_speed_prior_week_m_s⁻¹,precipitation_prior_wk_cm,irradiance_w_m⁻²,total_river_m_s⁻¹
30.19,-0.4,5.498592,2.3368,54.2,24.544944
30.43,-0.2,5.2303679999999995,0.3556,105.6,22.228368
30.28,0.4,6.5714879999999996,2.3622,89.4,29.6652
29.42,0.6,5.319776,5.1816,88.2,45.22137599999999
30.28,0.4,6.92912,1.6764,151.8,42.01272
28.24,1.4,4.336288,2.5654,136.2,32.69544
29.94,2.2,7.242048,5.2578,155.4,102.46459200000001
29.25,3.1,7.37616,1.8288,246.4,84.99964800000001
28.73,3.8,5.096256,2.1336,151.5,62.071776
29.18,5.6,7.197344,3.5052,187.7,109.29254399999999
28.7,7.0,4.828032,2.0574,199.0,82.391376
28.48,8.4,5.051552,1.7526,220.4,57.280032
28.78,8.6,5.588,1.4224,198.1,47.920272
28.66,11.0,5.36448,2.286,269.5,56.308656
30.1,12.0,5.543296,0.381,249.5,36.110832
29.47,12.2,5.051552,1.8034,220.8,30.214608000000002
29.99,13.6,5.588,0.3048,296.5,21.746928
29.33,16.8,5.051552,0.1016,237.1,15.210671999999999
29.83,18.6,4.425696,3.5814,303.2,27.3996
30.39,15.8,5.945632,3.6322,150.5,18.441983999999998
30.5,15.5,4.872736,2.3114,243.1,25.284095999999998
29.63,18.4,3.79984,1.9812,175.5,20.90016
30.08,19.0,4.783328,6.223,284.0,14.930304
29.92,20.6,5.096256,5.588,154.4,27.113568
31.02,20.2,4.4704,3.9116,186.3,45.572544
28.55,22.0,4.783328,0.1778,249.3,21.166368
29.18,20.6,3.889248,2.0574,198.5,16.295327999999998
30.44,21.2,5.096256,0.0,247.1,13.0272
30.39,20.4,4.336288,0.0,202.4,11.815104
30.44,18.2,4.559807999999999,0.5334,216.2,10.976832
30.86,19.6,3.889248,0.0,198.8,10.062096
31.04,19.4,4.425696,0.3302,128.6,12.667536
30.07,18.0,3.933952,5.4864,102.0,18.541103999999997
31.18,14.8,4.4704,0.889,168.0,16.300992
30.53,14.0,5.588,4.0132,99.5,11.874576000000001
31.04,12.3,4.559807999999999,1.3716,112.5,30.483648000000002
28.91,10.6,6.25856,1.5748,78.3,27.957504
29.69,9.8,4.872736,0.0762,72.6,27.657312
28.89,7.8,3.844544,0.508,47.9,26.510351999999997
30.26,8.1,6.8397120000000005,7.493,72.0,56.30016
28.84,7.1,4.9621439999999994,2.8702,64.0,55.06257599999999
26.76,5.4,5.9009279999999995,4.9276,68.8,83.7564
27.85,3.5,5.677408,0.2794,65.6,70.13448
28.57,4.0,4.112768,2.286,48.8,46.866768
29.43,4.2,5.498592,3.937,72.7,73.592352
27.78,1.2,5.543296,0.4572,84.9,72.27264
29.6,2.7,4.604512000000001,1.651,82.1,52.205088
29.34,2.2,5.543296,1.2446,85.1,42.242112000000006
26.89,2.0,4.649216,1.5748,116.0,47.489808
27.56,2.7,6.0350399999999995,1.6002,82.4,53.012208
30.21,2.0,5.9009279999999995,0.1016,178.2,49.826207999999994
29.67,2.8,4.157472,1.3208,178.7,49.919664
28.46,5.8,5.409184,5.1816,122.5,101.841552
29.52,5.1,5.2303679999999995,3.2766,210.2,126.00984
